tvShowID,name,duration,countryOfOrigin,productionCompany,banner,genres,description,status,firstYearRelease
6620ef0cfc13ae0cffa24174,Hollywoodland,197,Thailand,"Johnson, Grant and Grant",http://dummyimage.com/172x100.png/ff4444/ffffff,"[""CRIME"",""DRAMA"",""MYSTERY"",""THRILLER""]","Supplement Tricuspid Valve with Autologous Tissue Substitute, Open Approach",COMING_SOON,2015
6620ef0cfc13ae0cffa24175,Ironclad,81,Norway,Lehner-Flatley,http://dummyimage.com/188x100.png/ff4444/ffffff,"[""ACTION"",""ADVENTURE""]","Repair Nasal Turbinate, Via Natural or Artificial Opening",COMING_SOON,2010
6620ef0cfc13ae0cffa24176,Payment Deferred,86,Czech Republic,Oberbrunner-Beer,http://dummyimage.com/244x100.png/dddddd/000000,"[""DRAMA""]","Bypass Esophagus to Duodenum, Open Approach",COMING_SOON,2012
6620ef0cfc13ae0cffa24177,"Love, Wedding, Marriage",153,Colombia,"Nitzsche, Kulas and Tillman",http://dummyimage.com/231x100.png/cc0000/ffffff,"[""COMEDY"",""ROMANCE""]","Dilation of Innominate Artery with Intraluminal Device, Percutaneous Endoscopic Approach",COMING_SOON,2011
6620ef0cfc13ae0cffa24178,Endless Love,76,Nigeria,Bogisich-Wuckert,http://dummyimage.com/151x100.png/ff4444/ffffff,"[""DRAMA"",""ROMANCE""]","Removal of Autologous Tissue Substitute from Left Finger Phalangeal Joint, Open Approach",COMING_SOON,2019
6620ef0cfc13ae0cffa24179,Casanova,59,Uruguay,Trantow-Breitenberg,http://dummyimage.com/147x100.png/cc0000/ffffff,"[""ACTION"",""ADVENTURE"",""COMEDY"",""DRAMA"",""ROMANCE""]","Fusion of 8 or more Thoracic Vertebral Joints with Autologous Tissue Substitute, Posterior Approach, Posterior Column, Percutaneous Endoscopic Approach",RELEASED,2015
6620ef0cfc13ae0cffa2417a,"Millionaire for Christy, A (Golden Goose) (No Room for the Groom)",67,Portugal,McKenzie and Sons,http://dummyimage.com/235x100.png/5fa2dd/ffffff,"[""COMEDY"",""ROMANCE""]","Revision of External Fixation Device in Left Hip Joint, External Approach",RELEASED,2006
6620ef0cfc13ae0cffa2417b,"Mummy's Tomb, The",28,Greece,Watsica and Sons,http://dummyimage.com/121x100.png/5fa2dd/ffffff,"[""HORROR""]","Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Autologous Venous Tissue, Percutaneous Endoscopic Approach",COMING_SOON,2010
6620ef0cfc13ae0cffa2417c,Blackboards (Takhté Siah),43,France,Trantow Group,http://dummyimage.com/112x100.png/5fa2dd/ffffff,"[""DRAMA""]","Dilation of Right Hand Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach",COMING_SOON,1999
6620ef0cfc13ae0cffa2417d,Look,176,Indonesia,Funk Inc,http://dummyimage.com/104x100.png/dddddd/000000,"[""DRAMA""]","Revision of Nonautologous Tissue Substitute in Small Intestine, Open Approach",COMING_SOON,2004
6620ef0cfc13ae0cffa2417e,Collision Course,19,Guatemala,Balistreri Inc,http://dummyimage.com/184x100.png/5fa2dd/ffffff,"[""ACTION"",""COMEDY"",""THRILLER""]","Occlusion of Right External Carotid Artery with Extraluminal Device, Percutaneous Approach",COMING_SOON,2008
6620ef0cfc13ae0cffa2417f,"Perfect Host, The",103,Czech Republic,"Schoen, Nader and Funk",http://dummyimage.com/155x100.png/ff4444/ffffff,"[""CRIME"",""DRAMA"",""THRILLER""]","Insertion of Radioactive Element into Right Knee Region, Open Approach",RELEASED,2002
6620ef0cfc13ae0cffa24180,Santa with Muscles,38,China,Medhurst Group,http://dummyimage.com/162x100.png/5fa2dd/ffffff,"[""COMEDY""]","Extraction of Ulnar Nerve, Percutaneous Approach",COMING_SOON,2019
6620ef0cfc13ae0cffa24181,Zatoichi the Fugitive (Zatôichi kyôjô-tabi) (Zatôichi 4),160,Russia,Beatty-Reynolds,http://dummyimage.com/111x100.png/cc0000/ffffff,"[""ACTION"",""DRAMA""]","Drainage of Right External Ear with Drainage Device, External Approach",RELEASED,2020
6620ef0cfc13ae0cffa24182,Trapped in Paradise,123,Sweden,Leannon-Kassulke,http://dummyimage.com/159x100.png/cc0000/ffffff,"[""COMEDY"",""CRIME""]","Excision of Aortic Valve, Percutaneous Endoscopic Approach",RELEASED,2014
6620ef0cfc13ae0cffa24183,"Great Stone Face, The",123,New Zealand,"Purdy, Graham and D'Amore",http://dummyimage.com/226x100.png/ff4444/ffffff,"[""DOCUMENTARY""]","Drainage of Trigeminal Nerve, Percutaneous Approach",RELEASED,2019
6620ef0cfc13ae0cffa24184,And God Created Woman,199,China,Bins-Purdy,http://dummyimage.com/214x100.png/5fa2dd/ffffff,"[""COMEDY"",""DRAMA"",""ROMANCE""]","Destruction of Left Nipple, Via Natural or Artificial Opening Endoscopic",RELEASED,2015
6620ef0cfc13ae0cffa24185,Bundle of Joy,123,China,Miller LLC,http://dummyimage.com/136x100.png/ff4444/ffffff,"[""COMEDY"",""MUSICAL""]","Repair Nasal Bone, Open Approach",RELEASED,2013
6620ef0cfc13ae0cffa24186,Darling,196,Japan,Kuhlman Inc,http://dummyimage.com/198x100.png/ff4444/ffffff,"[""DRAMA""]","Supplement Right Ureter with Autologous Tissue Substitute, Via Natural or Artificial Opening",RELEASED,2017
6620ef0cfc13ae0cffa24187,Up,130,Russia,Ernser and Sons,http://dummyimage.com/225x100.png/5fa2dd/ffffff,"[""ADVENTURE"",""ANIMATION"",""CHILDREN"",""DRAMA""]","Removal of Autologous Tissue Substitute from Right Eye, External Approach",COMING_SOON,2015
6620ef0cfc13ae0cffa24188,Red Dawn,15,Peru,"Harris, Hilll and Corkery",http://dummyimage.com/129x100.png/cc0000/ffffff,"[""ACTION"",""DRAMA"",""WAR""]","Dilation of Left Renal Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach",RELEASED,2006
6620ef0cfc13ae0cffa24189,Hey Ram,166,Pakistan,Predovic-Bechtelar,http://dummyimage.com/186x100.png/cc0000/ffffff,"[""DRAMA""]","Extirpation of Matter from Right External Auditory Canal, External Approach",RELEASED,2009
6620ef0cfc13ae0cffa2418a,"Midnight (Primeiro Dia, O)",121,China,"Schmidt, Stamm and Williamson",http://dummyimage.com/187x100.png/5fa2dd/ffffff,"[""DRAMA""]","Drainage of Right Foot Artery, Open Approach",COMING_SOON,2015
6620ef0cfc13ae0cffa2418b,Confessions of a Shopaholic,189,Russia,Koch-Stoltenberg,http://dummyimage.com/196x100.png/5fa2dd/ffffff,"[""COMEDY"",""ROMANCE""]","Fragmentation in Bladder, Via Natural or Artificial Opening Endoscopic",COMING_SOON,2008
