id,name,duration,firstYearRelease,countryOfOrigin,productionCompany,banner,genres
1,Jeffrey,72,1964,Poland,Kunde LLC,http://dummyimage.com/200x100.png/dddddd/000000,"[""Comedy"",""Drama""]"
2,Red,83,1962,Mexico,Jacobson-Pouros,http://dummyimage.com/178x100.png/cc0000/ffffff,"[""Drama"",""Thriller""]"
3,Malibu High,172,2021,Nigeria,Steuber-Zieme,http://dummyimage.com/107x100.png/cc0000/ffffff,"[""Comedy"",""Crime""]"
4,Animal Factory,21,1980,China,"Christiansen, Green and Schulist",http://dummyimage.com/196x100.png/cc0000/ffffff,"[""Crime"",""Drama""]"
5,Fright Night,22,2001,Russia,Denesik-Sauer,http://dummyimage.com/217x100.png/cc0000/ffffff,"[""Comedy"",""Horror"",""Thriller""]"
6,Kites,41,2021,Morocco,Cartwright-Waters,http://dummyimage.com/237x100.png/5fa2dd/ffffff,"[""Action"",""Drama"",""Romance""]"
7,Passport to Pimlico,76,1985,China,Crooks LLC,http://dummyimage.com/165x100.png/dddddd/000000,"[""Comedy""]"
8,"Afflicted, The",161,2001,France,Fritsch LLC,http://dummyimage.com/157x100.png/5fa2dd/ffffff,"[""Horror"",""Thriller""]"
9,Growing Pains,58,1964,Lithuania,Rolfson Group,http://dummyimage.com/221x100.png/cc0000/ffffff,"[""Comedy""]"
10,"Magnetic Man, The (Magneettimies)",190,2012,Russia,"Dare, Bartell and Rolfson",http://dummyimage.com/128x100.png/cc0000/ffffff,"[""Documentary""]"
11,Je préfère qu'on reste amis,23,1998,Uzbekistan,Murphy-Ratke,http://dummyimage.com/235x100.png/5fa2dd/ffffff,"[""Comedy"",""Drama"",""Romance""]"
12,"Damned United, The",67,1995,China,"Bailey, Kuhic and Murazik",http://dummyimage.com/236x100.png/cc0000/ffffff,"[""Drama""]"
13,Murder on a Honeymoon,38,2006,Mongolia,"Stark, Kessler and Baumbach",http://dummyimage.com/139x100.png/5fa2dd/ffffff,"[""Comedy"",""Mystery""]"
14,Late Night Shopping,133,1987,Portugal,Conroy-Walter,http://dummyimage.com/188x100.png/dddddd/000000,"[""Comedy""]"
15,Save the Date,125,1955,Indonesia,Heathcote LLC,http://dummyimage.com/143x100.png/cc0000/ffffff,"[""Comedy"",""Romance""]"
16,Female Perversions,118,2016,Portugal,"Schulist, Effertz and Becker",http://dummyimage.com/163x100.png/cc0000/ffffff,"[""Drama""]"
17,I Will Buy You (Anata kaimasu),54,1962,Croatia,"Kuhlman, Armstrong and Herzog",http://dummyimage.com/201x100.png/5fa2dd/ffffff,"[""Drama""]"
18,All Fall Down,190,1992,Indonesia,"Bailey, Spinka and Feeney",http://dummyimage.com/142x100.png/cc0000/ffffff,"[""Drama""]"
19,Squanto: A Warrior's Tale,198,1953,Philippines,Feest LLC,http://dummyimage.com/141x100.png/5fa2dd/ffffff,"[""Adventure"",""Drama""]"
20,"Professional, The (Le professionnel)",80,1966,Philippines,Stehr-Cummerata,http://dummyimage.com/189x100.png/dddddd/000000,"[""Action"",""Drama"",""Thriller""]"
21,Elvis and Me,132,1955,Philippines,Denesik Group,http://dummyimage.com/166x100.png/ff4444/ffffff,"[""Drama"",""Romance""]"
22,Flying Tigers,59,1991,Russia,Mayer-Koss,http://dummyimage.com/188x100.png/cc0000/ffffff,"[""Action"",""Drama"",""Romance"",""War""]"
23,Summer Palace (Yihe yuan),197,2006,Chile,"Kuhn, Johnston and Crooks",http://dummyimage.com/141x100.png/cc0000/ffffff,"[""Drama"",""Romance""]"
24,Serendipity,85,1955,Botswana,Runolfsdottir-Windler,http://dummyimage.com/199x100.png/ff4444/ffffff,"[""Comedy"",""Romance""]"
25,Spirited Away (Sen to Chihiro no kamikakushi),30,1958,Madagascar,"Stroman, Conroy and Harvey",http://dummyimage.com/140x100.png/cc0000/ffffff,"[""Adventure"",""Animation"",""Fantasy""]"
26,Vizontele Tuuba,18,1959,Russia,"Schiller, Sipes and Watsica",http://dummyimage.com/231x100.png/dddddd/000000,"[""Comedy"",""Drama""]"
27,Drumline,149,1961,Egypt,Hoppe-Veum,http://dummyimage.com/183x100.png/cc0000/ffffff,"[""Comedy"",""Drama"",""Musical"",""Romance""]"
28,"Prince of Tides, The",80,1990,China,"Breitenberg, Champlin and Torphy",http://dummyimage.com/177x100.png/cc0000/ffffff,"[""Drama"",""Romance""]"
29,Screwed in Tallinn (Torsk på Tallinn - En liten film om ensamhet),130,1963,Mexico,"Kohler, Yundt and Haley",http://dummyimage.com/211x100.png/dddddd/000000,"[""Comedy"",""Drama""]"
30,Pleasantville,91,1977,Poland,Kutch-Hand,http://dummyimage.com/108x100.png/dddddd/000000,"[""Comedy"",""Drama"",""Fantasy""]"
31,"My Daughter, the Socialist (I kori mou, i sosialistria)",17,1950,Japan,Schumm Inc,http://dummyimage.com/152x100.png/5fa2dd/ffffff,"[""Comedy"",""Romance""]"
32,Shamus,143,1960,Sweden,"Murazik, Krajcik and Pacocha",http://dummyimage.com/240x100.png/dddddd/000000,"[""Crime"",""Mystery""]"
33,"King of Masks, The (Bian Lian)",101,2002,China,Boyle Group,http://dummyimage.com/209x100.png/ff4444/ffffff,"[""Drama""]"
34,Loves of a Blonde (Lásky jedné plavovlásky),52,1980,Sweden,Gottlieb Group,http://dummyimage.com/175x100.png/5fa2dd/ffffff,"[""Comedy"",""Drama"",""Romance""]"
